Instance,No_In_Sequence,Class,Joint_1_x,Joint_1_y,Joint_1_z,Joint_2_x,Joint_2_y,Joint_2_z,Joint_3_x,Joint_3_y,Joint_3_z,Joint_4_x,Joint_4_y,Joint_4_z,Joint_5_x,Joint_5_y,Joint_5_z,Joint_6_x,Joint_6_y,Joint_6_z,Joint_7_x,Joint_7_y,Joint_7_z,Joint_8_x,Joint_8_y,Joint_8_z,Joint_9_x,Joint_9_y,Joint_9_z,Joint_10_x,Joint_10_y,Joint_10_z,Joint_11_x,Joint_11_y,Joint_11_z,Joint_12_x,Joint_12_y,Joint_12_z,Joint_13_x,Joint_13_y,Joint_13_z,Joint_14_x,Joint_14_y,Joint_14_z,Joint_15_x,Joint_15_y,Joint_15_z,Joint_16_x,Joint_16_y,Joint_16_z,Joint_17_x,Joint_17_y,Joint_17_z
36,40,1,61,41,195.0,1,0,1.0,2,15,12.0,2,3,8.0,1,14,11.0,9,0,5.0,16,22,14.0,30,7,2.0,38,23,10.0,36,5,1.0,49,17,11.0,49,0,7.0,53,14,11.0,79,9,38.0,83,7,11.0,106,15,38.0,109,2,11.0
36,41,1,61,35,192.0,3,1,2.0,2,17,25.0,1,4,9.0,0,14,25.0,10,3,4.0,15,22,15.0,33,4,1.0,38,24,17.0,48,5,2.0,45,18,18.0,49,4,12.0,50,17,20.0,79,1,37.0,79,13,45.0,107,1,92.0,107,14,83.0
36,42,1,66,42,206.0,5,10,20.0,5,0,5.0,5,8,18.0,5,0,5.0,7,9,18.0,10,9,2.0,29,19,21.0,34,11,5.0,7,49,69.0,42,4,2.0,48,7,6.0,48,6,5.0,77,12,52.0,78,1,55.0,104,14,110.0,104,2,105.0
36,43,1,73,38,201.0,1,1,3.0,2,5,12.0,4,1,5.0,7,2,3.0,1,1,3.0,4,7,9.0,15,2,4.0,22,9,9.0,31,9,12.0,31,9,12.0,28,0,1.0,28,4,4.0,52,4,8.0,52,3,6.0,63,1,46.0,63,2,45.0
37,3,1,65,39,198.0,2,1,3.0,2,1,2.0,0,2,5.0,3,8,11.0,11,2,6.0,10,9,9.0,30,7,13.0,29,9,7.0,47,8,14.0,47,8,14.0,48,3,4.0,47,14,11.0,71,5,37.0,71,19,35.0,86,6,52.0,88,16,48.0
37,4,1,65,55,206.0,2,3,2.0,4,2,2.0,1,6,7.0,5,7,2.0,12,4,3.0,6,18,12.0,34,8,7.0,27,29,19.0,52,8,10.0,5,21,15.0,50,4,5.0,47,19,11.0,76,7,5.0,73,22,51.0,101,13,5.0,97,31,51.0
37,5,1,63,65,198.0,2,2,1.0,3,2,0.0,2,4,3.0,7,9,7.0,12,4,6.0,6,22,0.0,32,9,4.0,28,31,5.0,51,13,6.0,48,32,5.0,52,5,1.0,49,22,1.0,80,10,54.0,77,23,44.0,104,15,86.0,99,28,74.0
37,6,1,59,76,194.0,2,3,1.0,4,1,2.0,2,6,1.0,8,9,3.0,12,6,2.0,7,21,2.0,34,7,2.0,30,30,10.0,53,7,2.0,51,22,9.0,56,2,1.0,53,20,9.0,88,7,43.0,85,27,50.0,121,10,44.0,117,31,94.0
37,7,1,57,85,190.0,2,2,0.0,3,3,0.0,1,4,2.0,7,9,1.0,15,3,4.0,8,23,2.0,39,7,4.0,31,36,4.0,61,8,8.0,55,34,6.0,59,6,0.0,57,25,5.0,94,8,11.0,91,29,48.0,126,15,10.0,124,33,88.0
37,8,1,55,90,192.0,2,3,0.0,4,2,1.0,1,6,2.0,7,8,1.0,18,5,2.0,8,23,1.0,41,10,2.0,30,38,5.0,61,13,4.0,54,43,9.0,59,8,4.0,55,27,7.0,94,14,15.0,90,29,46.0,127,21,25.0,126,38,90.0
37,9,1,55,95,189.0,1,3,1.0,3,2,2.0,1,6,5.0,8,9,2.0,18,5,4.0,7,25,3.0,39,11,5.0,30,42,4.0,54,15,5.0,54,47,5.0,60,10,0.0,55,28,5.0,95,18,4.0,91,31,43.0,128,22,4.0,126,36,75.0
37,10,1,56,98,185.0,3,3,1.0,5,3,0.0,1,3,2.0,10,9,3.0,16,5,3.0,6,26,2.0,37,10,6.0,30,42,1.0,53,14,6.0,55,47,3.0,59,9,3.0,55,28,2.0,95,18,3.0,93,27,24.0,126,27,18.0,127,30,25.0
37,11,1,50,98,183.0,3,3,0.0,4,3,1.0,2,7,3.0,8,10,1.0,16,6,4.0,9,24,2.0,42,10,4.0,35,37,2.0,64,14,6.0,62,36,4.0,64,2,1.0,61,23,1.0,104,7,7.0,102,24,15.0,130,27,18.0,134,30,24.0
37,12,1,46,101,181.0,2,4,2.0,4,2,1.0,1,6,5.0,9,10,0.0,17,7,4.0,10,24,2.0,43,10,5.0,38,34,9.0,67,11,6.0,59,25,9.0,66,0,1.0,64,23,4.0,106,2,5.0,105,26,20.0,146,4,113.0,142,30,24.0
37,13,1,46,108,180.0,3,4,5.0,5,2,1.0,2,7,10.0,9,11,1.0,16,5,2.0,9,25,2.0,42,6,6.0,35,35,17.0,67,7,6.0,54,22,15.0,68,3,2.0,65,25,11.0,106,4,1.0,106,30,14.0,144,9,113.0,142,37,19.0
37,14,1,46,116,180.0,2,4,2.0,4,2,2.0,1,9,12.0,9,11,1.0,17,5,6.0,9,25,7.0,42,7,7.0,35,38,19.0,71,7,7.0,57,27,25.0,68,4,1.0,64,27,23.0,109,5,1.0,107,34,13.0,150,16,114.0,143,45,29.0
37,15,1,43,124,174.0,3,4,9.0,5,2,3.0,1,7,18.0,9,10,2.0,20,5,9.0,9,27,10.0,48,9,12.0,37,41,16.0,74,11,15.0,64,41,16.0,69,6,4.0,64,27,14.0,109,12,5.0,105,31,11.0,149,22,110.0,141,44,25.0
37,16,1,41,131,170.0,2,4,7.0,5,2,0.0,0,6,14.0,10,11,1.0,21,4,11.0,9,28,12.0,45,11,15.0,36,46,14.0,66,16,14.0,65,53,16.0,70,10,2.0,66,31,16.0,112,18,1.0,110,31,16.0,151,27,11.0,151,36,106.0
